Name;EDoID;isED;Age;Gender;isM;Nationality;Current_Com_Roles;Historical_Com_Roles;Number_Committees;Recent_Compensation;Recent_Comp_Mil;Recent_Comp_Thous;Company;Sector;Industry
Steven (Steve) Anthony Ballmer;ED;1;57;M;1;American;0;2;1;;;;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Satya  Nadella;ED;1;47;M;1;;0;1;3;;;;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Dina  Dublon;ID;0;61;F;0;American;4;12;5;179;0,179;179;MICROSOFT CORP (Quoted);Technology;Business Software & Services
William (Bill) Henry Gates III;ID;0;58;M;1;American;0;0;2;164;0,164;164;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Maria M Klawe;ID;0;63;F;0;;3;4;3;164;0,164;164;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Stephen (Steve) J Luczo;ID;0;57;M;1;American;2;6;3;203;0,203;203;MICROSOFT CORP (Quoted);Technology;Business Software & Services
David (Dave) F Marquardt;ID;0;65;M;1;American;1;8;4;171;0,171;171;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Garrison Mason Morfit;ID;0;39;M;1;;3;19;3;;;;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Charles (Chuck) Howard Noski;ID;0;61;M;1;American;5;21;3;193;0,193;193;MICROSOFT CORP (Quoted);Technology;Business Software & Services
Doctor Helmut Gunter Panke;ID;0;67;M;1;German;6;13;4;184;0,184;184;MICROSOFT CORP (Quoted);Technology;Business Software & Services
John Wendell Thompson;ID;0;64;M;1;American;1;13;5;;;;MICROSOFT CORP (Quoted);Technology;Business Software & Services
M (Steve) Steven Ells;ED;1;49;M;1;American;0;0;1;14,405;14,405;14405;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Montgomery (Monty) Frederick Moran;ED;1;48;M;1;;0;0;1;14,054;14,054;14054;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Albert (Al) S Baldocchi;ID;0;61;M;1;;1;1;1;94;0,094;94;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
John S Charlesworth;ID;0;67;M;1;;1;1;3;82;0,082;82;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Neil W Flanzraich;ID;0;70;M;1;American;3;18;7;82;0,082;82;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Patrick J Flynn;ID;0;71;M;1;;2;3;1;86;0,086;86;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Darlene J Friedman;ID;0;72;F;0;;2;2;1;87;0,087;87;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Jeffrey (Jeff) B Kindler;ID;0;58;M;1;American;4;5;8;;;;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
Kimbal  Musk;ID;0;41;M;1;South African;0;0;7;;;;CHIPOTLE MEXICAN GRILL INC (Quoted);Services;Restaurants
William (Bill) Henry Rogers Jr;ED;1;56;M;1;;1;7;2;5,404;5,404;5404;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Robert M Beall II;ID;0;70;M;1;American;6;12;6;154;0,154;154;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Alston (Pete) Dayton Correll Jr;ID;0;72;M;1;American;3;25;8;261;0,261;261;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Jeffrey C Crowe;ID;0;68;M;1;;0;15;2;73;0,073;73;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
David (Dave) Henry Hughes;ID;0;71;M;1;American;5;17;2;148;0,148;148;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
M (Doug) Douglas Ivester;ID;0;66;M;1;American;3;17;6;166;0,166;166;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Kyle Prechtl Legg;ID;0;62;F;0;;3;8;1;163;0,163;163;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
William (Bill) A Linnenbringer;ID;0;65;M;1;American;2;7;1;154;0,154;154;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Donna S Morea;ID;0;59;F;0;;4;6;3;151;0,151;151;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
David Moore Ratcliffe;ID;0;65;M;1;American;6;10;5;142;0,142;142;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
Frank P Scruggs Jr;ID;0;62;M;1;American;4;6;4;136;0,136;136;SUNTRUST BANKS INC (Quoted);Financial;Money Center Banks
